Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year
HCC Survival,Multivariate ,Classification ,"Integer, Real ",165,49,2017 
Health News in Twitter,Text ,Clustering ,Real ,58000,25000,2018 
Heart Disease,Multivariate ,Classification ,"Categorical, Integer, Real ",303,75,1988 
Hepatitis,Multivariate ,Classification ,"Categorical, Integer, Real ",155,19,1988 
HEPMASS,Multivariate ,Classification ,Real ,10500000,28,2016 
Heterogeneity Activity Recognition,"Multivariate, Time-Series ","Classification, Clustering ",Real ,43930257,16,2015 
HIGGS,,Classification ,Real ,11000000,28,2014 
Hill-Valley,Sequential ,Classification ,Real ,606,101,2008 
HIV-1 protease cleavage,Multivariate ,Classification ,Categorical ,6590,1,2015 
Horse Colic,Multivariate ,Classification ,"Categorical, Integer, Real ",368,27,1989 
HTRU2,Multivariate ,"Classification, Clustering ",Real ,17898,9,2017 
Human Activity Recognition Using Smartphones,"Multivariate, Time-Series ","Classification, Clustering ",,10299,561,2012 
"Hybrid Indoor Positioning Dataset from WiFi RSSI, Bluetooth and magnetometer","Multivariate, Sequential, Time-Series ",Classification ,Real ,1540,65,2016 
ICMLA 2014 Accepted Papers Data Set,Multivariate ,"Classification, Clustering ",,105,5,2018 
ICU,"Multivariate, Time-Series ",,Real ,0,0,
IDA2016Challenge,Multivariate ,Classification ,Integer ,76000,171,2017 
ILPD (Indian Liver Patient Dataset),Multivariate ,Classification ,"Integer, Real ",583,10,2012 
Image Segmentation,Multivariate ,Classification ,Real ,2310,19,1990 
Immunotherapy Dataset,Univariate ,Classification ,"Integer, Real ",90,8,2018 
Improved Spiral Test Using Digitized Graphics Tablet for Monitoring Parkinson’s Disease,Multivariate ,"Classification, Regression, Clustering ",Real ,40,7,2016 
Individual household electric power consumption,"Multivariate, Time-Series ","Regression, Clustering ",Real ,2075259,9,2012 
Indoor User Movement Prediction from RSS data,"Multivariate, Sequential, Time-Series ",Classification ,Real ,13197,4,2016 
Communities and Crime,Multivariate ,Regression ,Real ,1994,128,2009 
Internet Advertisements,Multivariate ,Classification ,"Categorical, Integer, Real ",3279,1558,1998 
Internet Usage Data,Multivariate ,,"Categorical, Integer ",10104,72,1999 
Ionosphere,Multivariate ,Classification ,"Integer, Real ",351,34,1989 
IPUMS Census Database,Multivariate ,,"Categorical, Integer ",256932,61,1999 
Iris,Multivariate ,Classification ,Real ,150,4,1988 
ISOLET,Multivariate ,Classification ,Real ,7797,617,1994 
ISTANBUL STOCK EXCHANGE,"Multivariate, Univariate, Time-Series ","Classification, Regression ",Real ,536,8,2013 
Japanese Credit Screening,"Multivariate, Domain-Theory ",Classification ,"Categorical, Real, Integer ",125,0,1992 
Japanese Vowels,"Multivariate, Time-Series ",Classification ,Real ,640,12,
KASANDR,Multivariate ,Causal-Discovery ,Integer ,17764280,2158859,2017 
KDC-4007 dataset Collection,"Multivariate, Text ","Classification, Regression ",Integer ,4007,0,2017 
Residential Building Data Set,Multivariate ,Regression ,Real ,372,105,2018 
KDD Cup 1999 Data,Multivariate ,Classification ,"Categorical, Integer ",4000000,42,1999 
KEGG Metabolic Reaction Network (Undirected),"Multivariate, Univariate, Text ","Classification, Regression, Clustering ","Integer, Real ",65554,29,2011 
KEGG Metabolic Relation Network (Directed),"Multivariate, Univariate, Text ","Classification, Regression, Clustering ","Integer, Real ",53414,24,2011 
Kinship,Relational ,Relational-Learning ,Categorical ,104,12,1990 
Labor Relations,Multivariate ,,"Categorical, Integer, Real ",57,16,1988 
Las Vegas Strip,,"Classification, Regression ",Integer ,504,20,2017 
Leaf,Multivariate ,Classification ,Real ,340,16,2014 
LED Display Domain,"Multivariate, Data-Generator ",Classification ,Categorical ,0,7,1988 
Legal Case Reports,Text ,Classification ,,0,0,2012 
Lenses,Multivariate ,Classification ,Categorical ,24,4,1990 
Letter Recognition,Multivariate ,Classification ,Integer ,20000,16,1991 
Libras Movement,"Multivariate, Sequential ","Classification, Clustering ",Real ,360,91,2009 
Liver Disorders,Multivariate ,,"Categorical, Integer, Real ",345,7,1990 
Localization Data for Person Activity,"Univariate, Sequential, Time-Series ",Classification ,Real ,164860,8,2010 
Logic Theorist,Domain-Theory ,,,0,0,
Low Resolution Spectrometer,Multivariate ,Classification ,"Integer, Real ",531,102,1988 
LSVT Voice Rehabilitation,Multivariate ,Classification ,Real ,126,309,2014 
Lung Cancer,Multivariate ,Classification ,Integer ,32,56,1992 
Lymphography,Multivariate ,Classification ,Categorical ,148,18,1988 
M. Tuberculosis Genes,Relational ,,,0,0,2001 
Machine Learning based ZZAlpha Ltd. Stock Recommendations 2012-2014,"Sequential, Time-Series ",Classification ,Real ,314080,0,2015 
Madelon,Multivariate ,Classification ,Real ,4400,500,2008 
MAGIC Gamma Telescope,Multivariate ,Classification ,Real ,19020,11,2007 
Mammographic Mass,Multivariate ,Classification ,Integer ,961,6,2007 
Mechanical Analysis,Multivariate ,Classification ,"Categorical, Integer, Real ",209,8,1990 
Mesothelioma’s disease data set,Multivariate ,Classification ,Real ,324,34,2016 
Meta-data,Multivariate ,Classification ,"Categorical, Integer, Real ",528,22,1996 
MEU-Mobile KSD,Multivariate ,Classification ,"Integer, Real ",2856,71,2016 
MHEALTH Dataset,"Multivariate, Time-Series ",Classification ,Real ,120,23,2014 
Mice Protein Expression,Multivariate ,"Classification, Clustering ",Real ,1080,82,2015 
microblogPCU,"Multivariate, Univariate, Sequential, Text ","Classification, Causal-Discovery ","Integer, Real ",221579,20,2015 
MicroMass,Multivariate ,Classification ,Real ,931,1300,2013 
MiniBooNE particle identification,Multivariate ,Classification ,Real ,130065,50,2010 
Miskolc IIS Hybrid IPS,Text ,"Classification, Clustering, Causal-Discovery ",Integer ,1540,67,2016 
Mobile Robots,Domain-Theory ,,"Categorical, Integer, Real ",0,0,1995 
MoCap Hand Postures,Multivariate ,"Classification, Clustering ","Integer, Real ",78095,38,2016 
Molecular Biology (Promoter Gene Sequences),"Sequential, Domain-Theory ",Classification ,Categorical ,106,58,1990 
Molecular Biology (Protein Secondary Structure),Sequential ,Classification ,Categorical ,128,0,
Molecular Biology (Splice-junction Gene Sequences),"Sequential, Domain-Theory ",Classification ,Categorical ,3190,61,1992 
MONK's Problems,Multivariate ,Classification ,Categorical ,432,7,1992 
Moral Reasoner,Domain-Theory ,,,202,0,1994 
Motion Capture Hand Postures,Multivariate ,"Classification, Clustering ",Real ,78095,38,2017 
Movie,"Multivariate, Relational ",,,10000,0,1999 
MSNBC.com Anonymous Web Data,Sequential ,,Categorical ,989818,0,
Mturk User-Perceived Clusters over Images,"Multivariate, Text ",Clustering ,Integer ,180,500,2016 
Multiple Features,Multivariate ,Classification ,"Integer, Real ",2000,649,
Mushroom,Multivariate ,Classification ,Categorical ,8124,22,1987 
Musk (Version 1),Multivariate ,Classification ,Integer ,476,168,1994 
Musk (Version 2),Multivariate ,Classification ,Integer ,6598,168,1994 
News Aggregator,Multivariate ,"Classification, Clustering ",,422937,5,2016 
News Popularity in Multiple Social Media Platforms,"Multivariate, Time-Series, Text ",Regression ,"Integer, Real ",93239,11,2018 
Newspaper and magazine images segmentation dataset,,Classification ,,101,0,2014 
NIPS Conference Papers 1987-2015,Text ,Clustering ,Integer ,11463,5812,2016 
YearPredictionMSD,Multivariate ,Regression ,Real ,515345,90,2011 
Nomao,Univariate ,Classification ,Real ,34465,120,2012 
Northix,"Multivariate, Univariate, Text ",Classification ,"Integer, Real ",115,200,2012 
NSF Research Award Abstracts 1990-2003,Text ,,,129000,0,2003 
Nursery,Multivariate ,Classification ,Categorical ,12960,8,1997 
NYSK,"Multivariate, Sequential, Text ",Clustering ,,10421,7,2013 
Occupancy Detection,"Multivariate, Time-Series ",Classification ,Real ,20560,7,2016 
OCT data & Color Fundus Images of Left & Right Eyes,Multivariate ,Classification ,Real ,50,2,2016 
One-hundred plant species leaves data set,,Classification ,Real ,1600,64,2012 
Online Handwritten Assamese Characters Dataset,"Multivariate, Sequential ",Classification ,Integer ,8235,0,2011 
Insurance Company Benchmark (COIL 2000),Multivariate ,"Regression, Description ","Categorical, Integer ",9000,86,2000 
Online Retail,"Multivariate, Sequential, Time-Series ","Classification, Clustering ","Integer, Real ",541909,8,2015 
Online Video Characteristics and Transcoding Time Dataset,Multivariate ,Regression ,"Integer, Real ",168286,11,2015 
Open University Learning Analytics dataset,"Multivariate, Sequential, Time-Series ","Classification, Regression, Clustering ",Integer ,0,0,2015 
Opinosis Opinion ? Review,Text ,,,51,0,2010 
OpinRank Review Dataset,Text ,,,0,0,2011 
OPPORTUNITY Activity Recognition,"Multivariate, Time-Series ",Classification ,Real ,2551,242,2012 
Optical Interconnection Network,Multivariate ,"Classification, Regression ","Integer, Real ",640,10,2018 
Optical Recognition of Handwritten Digits,Multivariate ,Classification ,Integer ,5620,64,1998 
Othello Domain Theory,Domain-Theory ,,,0,0,1991 
Ozone Level Detection,"Multivariate, Sequential, Time-Series ",Classification ,Real ,2536,73,2008 
p53 Mutants,Multivariate ,Classification ,Real ,16772,5409,2010 
Page Blocks Classification,Multivariate ,Classification ,"Integer, Real ",5473,10,1995 
PAMAP2 Physical Activity Monitoring,"Multivariate, Time-Series ",Classification ,Real ,3850505,52,2012 
Paper Reviews,Text ,"Classification, Regression ",Integer ,405,10,2017 
Parkinson Disease Spiral Drawings Using Digitized Graphics Tablet,Multivariate ,"Classification, Regression, Clustering ",Integer ,77,7,2017 
Parkinson Speech Dataset with Multiple Types of Sound Recordings,Multivariate ,"Classification, Regression ","Integer, Real ",1040,26,2014 
Parkinsons,Multivariate ,Classification ,Real ,197,23,2008 
Parkinsons Telemonitoring,Multivariate ,Regression ,"Integer, Real ",5875,26,2009 
PEMS-SF,"Multivariate, Time-Series ",Classification ,Real ,440,138672,2011 
Pen-Based Recognition of Handwritten Digits,Multivariate ,Classification ,Integer ,10992,16,1998 
Perfume Data,"Univariate, Domain-Theory ","Classification, Clustering ",Integer ,560,2,2014 
Phishing Websites,,Classification ,Integer ,2456,30,2015 
Physicochemical Properties of Protein Tertiary Structure,Multivariate ,Regression ,Real ,45730,9,2013 
Pioneer-1 Mobile Robot Data,"Multivariate, Time-Series ",,"Categorical, Real ",0,0,1999 
Pittsburgh Bridges,Multivariate ,Classification ,"Categorical, Integer ",108,13,1990 
Planning Relax,Univariate ,Classification ,Real ,182,13,2012 
Plants,Multivariate ,Clustering ,Categorical ,22632,70,2008 
PM2.5 Data of Five Chinese Cities,"Multivariate, Time-Series ",Regression ,"Integer, Real ",52854,86,2017 
Poker Hand,Multivariate ,Classification ,"Categorical, Integer ",1025010,11,2007 
Polish companies bankruptcy data,Multivariate ,Classification ,Real ,10503,64,2016 
Post-Operative Patient,Multivariate ,Classification ,"Categorical, Integer ",90,8,1993 
Predict keywords activities in a online social media,"Multivariate, Sequential, Time-Series ",,"Integer, Real ",51,35,2013 
Primary Tumor,Multivariate ,Classification ,Categorical ,339,17,1988 
Prodigy,Domain-Theory ,,,0,0,
Protein Data,,,,0,0,
Pseudo Periodic Synthetic Time Series,"Univariate, Time-Series ",,,100000,0,1999 
PubChem Bioassay Data,Multivariate ,Classification ,"Integer, Real ",0,0,2011 
QSAR biodegradation,Multivariate ,Classification ,"Integer, Real ",1055,41,2013 
QtyT40I10D100K,Sequential ,,Integer ,3960456,4,2012 
Quadruped Mammals,"Multivariate, Data-Generator ",Classification ,Real ,0,72,1992 
Qualitative Structure Activity Relationships,Domain-Theory ,,,0,0,
Qualitative_Bankruptcy,Multivariate ,Classification ,,250,7,2014 
Quality Assessment of Digital Colposcopies,Multivariate ,Classification ,Real ,287,69,2017 
REALDISP Activity Recognition Dataset,"Multivariate, Time-Series ",Classification ,Real ,1419,120,2014 
Record Linkage Comparison Patterns,Multivariate ,Classification ,Real ,5749132,12,2011 
Geographical Original of Music,Multivariate ,"Classification, Regression ",Real ,1059,68,2014 
Repeat Consumption Matrices,Multivariate ,Clustering ,Real ,130000,21000,2018 
Early biomarkers of Parkinson?s disease based on natural connected speech,Multivariate ,"Classification, Regression ","Integer, Real ",130,65,2017 
Restaurant & consumer data,Multivariate ,,,138,47,2012 
"Reuters RCV1 RCV2 Multilingual, Multiview Text Categorization Test collection",Multivariate ,Classification ,Real ,111740,0,2013 
Reuters Transcribed Subset,Text ,Classification ,,200,0,2008 
Reuters-21578 Text Categorization Collection,Text ,Classification ,Categorical ,21578,5,1997 
Reuter_50_50,"Multivariate, Text, Domain-Theory ","Classification, Clustering ",Real ,2500,10000,2011 
