OBS,RATING,CODERTG,LOPMAR,LFIXCHAR,LGEARRAT,LTDCAP,LLEVER,LCASHLTD,LACIDRAT,LCURRAT,LRECTURN,LASSLTD
76,B,6,-2.102,0.705,0.328,0.581,0.394,-1.739,-0.039,0.789,2.294,0.673
77,B,6,-2.757,0.494,0.757,0.68,1.386,-1.568,-0.487,0.152,2.569,0.922
78,B,6,-2.287,1.233,-1.057,0.257,0.192,-0.719,-0.492,0.425,2.022,1.952
79,B,6,-1.841,1.939,-0.553,0.365,0.03,-0.992,0.174,1.078,1.806,1.286
80,B,6,-2.305,0.655,-0.1,0.474,0.164,-1.715,-0.299,0.705,1.96,0.93
81,B,6,-2.435,1.179,0.034,0.506,0.626,-1.482,-0.189,0.846,2.011,1.098
94,C,7,-2.274,0.631,-0.414,0.396,0.324,-1.343,-0.261,0.763,2.047,1.336
85,C,7,-0.384,0.373,0.248,0.561,0.75,-1.385,0.247,0.481,-0.134,0.898
86,C,7,-1.201,0.412,0.949,0.721,1.274,-1.909,-0.02,0.301,1.446,0.582
87,C,7,-1.394,1.392,-0.107,0.473,0.587,-0.748,-0.133,0.654,1.629,1.16
88,C,7,-2.412,0.277,0.227,0.556,0.815,-2.327,0.041,0.726,0.984,0.958
89,C,7,-2.395,0.498,0.298,0.574,0.938,-1.56,-0.368,0.484,1.627,1.089
90,C,7,-2.053,1.723,-0.174,0.456,0.54,-0.79,-0.091,0.192,2.418,1.173
91,C,7,-2.098,0.004,0.134,0.533,0.538,-1.961,0.571,0.661,2.221,0.863
92,C,7,-1.147,0,0.024,0.503,0.381,-1.484,-0.348,0.088,1.903,0.886
93,C,7,-2.478,0.563,-0.099,0.475,0.29,-1.213,0.046,0.292,2.359,0.992
